layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,warning,weak_rank_loss,xmax,xmin
181,Linear,0.040772884210178606,4096,11008,2.6875,3.362213134116973,0.06141005129299953,-0.9868929307659203,True,1.043,LAYER_TYPE.DENSE,0.6232779327359333,2.205,0.01826,_orig_mod.model.layers.12.mlp.gate_proj,0,160.6,4096,190,4096,1,0.17137295264997998,1.043,154.0,success,1.021484375,,0,1.04296875,0.140869140625
182,Linear,0.037039156640706394,4096,11008,2.6875,3.532307902676773,-0.549767160145616,-0.9893039069811465,True,0.6987,LAYER_TYPE.DENSE,0.1880833659122585,2.154,-0.1556,_orig_mod.model.layers.12.mlp.up_proj,0,142.8,4096,209,4096,1,0.17516340032438882,0.6987,204.2,success,0.8359375,,0,0.69873046875,0.1190185546875
183,Linear,0.046940665943985216,4096,11008,2.6875,5.758645427039426,-2.7541958963794517,-1.0037697642725036,True,0.3325,LAYER_TYPE.DENSE,-2.1199586125740018,2.133,-0.4783,_orig_mod.model.layers.12.mlp.down_proj,0,135.8,4096,75,4096,1,0.5494810436558387,0.3325,408.2,success,0.57666015625,,0,0.33251953125,0.138671875
189,Linear,0.020645566549154837,4096,4096,1.0,3.0172031136789013,1.8312419288588253,-0.9137599855707259,True,4.047,LAYER_TYPE.DENSE,1.8609313511965593,1.803,0.607,_orig_mod.model.layers.13.self_attn.q_proj,0,63.56,4096,77,4096,1,0.22988162967102416,4.047,15.7,success,2.01171875,,49,4.046875,0.11517333984375
190,Linear,0.024373172750564387,4096,4096,1.0,2.89644165066698,2.5994432392216353,-0.8904538821568727,True,7.9,LAYER_TYPE.DENSE,2.6060138481931947,1.859,0.8975,_orig_mod.model.layers.13.self_attn.k_proj,0,72.4,4096,110,4096,1,0.1808186166598124,7.9,9.164,success,2.810546875,,47,7.8984375,0.10321044921875
191,Linear,0.02904750030571529,4096,4096,1.0,3.633854197643108,-1.6607849262665768,-0.9547465812295711,True,0.349,LAYER_TYPE.DENSE,-1.2315711008103807,1.593,-0.457,_orig_mod.model.layers.13.self_attn.v_proj,0,39.12,4096,117,4096,1,0.24349990671021254,0.349,112.06,success,0.5908203125,,49,0.34912109375,0.0557861328125
192,Linear,0.0163074803928146,4096,4096,1.0,3.7112658343413614,-1.5783752645074833,-0.9627831686136584,True,0.3755,LAYER_TYPE.DENSE,-1.2348940035276423,1.624,-0.4253,_orig_mod.model.layers.13.self_attn.o_proj,0,42.06,4096,140,4096,1,0.2291437855593663,0.3755,112.0,success,0.61279296875,,42,0.37548828125,0.051055908203125
195,Linear,0.03860831729350145,4096,11008,2.6875,3.4315653310764564,0.017357847705869223,-0.9885002482427377,True,1.012,LAYER_TYPE.DENSE,0.5642779696820123,2.207,0.00506,_orig_mod.model.layers.13.mlp.gate_proj,0,161.0,4096,173,4096,1,0.18486848878649403,1.012,159.1,success,1.005859375,,0,1.01171875,0.145263671875
196,Linear,0.03745052144299421,4096,11008,2.6875,3.6613759982784417,-0.5197973981930942,-0.990911224457964,True,0.721,LAYER_TYPE.DENSE,0.12803977727599572,2.16,-0.142,_orig_mod.model.layers.13.mlp.up_proj,0,144.5,4096,169,4096,1,0.2047212306368032,0.721,200.4,success,0.84912109375,,0,0.72119140625,0.130615234375
197,Linear,0.057790537998887115,4096,11008,2.6875,6.374535493474094,-2.922699623228601,-1.0045734230109122,True,0.348,LAYER_TYPE.DENSE,-2.499150000328042,2.14,-0.4585,_orig_mod.model.layers.13.mlp.down_proj,0,138.2,4096,56,4096,1,0.7182025153441456,0.348,397.5,success,0.58984375,under-trained,0,0.347900390625,0.150634765625
203,Linear,0.02210032291722064,4096,4096,1.0,3.2238975572203836,1.7630689766048973,-0.9242075491700393,True,3.523,LAYER_TYPE.DENSE,1.7740665642065743,1.78,0.547,_orig_mod.model.layers.14.self_attn.q_proj,0,60.34,4096,112,4096,1,0.2101385670603275,3.523,17.12,success,1.876953125,,49,3.5234375,0.0888671875
